order_id,user_id,age,gender,city,product_id,category,price_x,quantity,total_amount,timestamp
1,609,57,Male,Chennai,21,Fashion,2597,2,5194,2024-09-26
2,84,35,Male,Delhi,215,Sports,16899,3,50697,2024-11-04
3,598,35,Male,Mumbai,290,Electronics,21625,3,64875,2024-06-19
4,324,47,Female,Mumbai,134,Electronics,21753,2,43506,2023-07-29
5,686,55,Female,Mumbai,161,Home,5343,3,16029,2023-09-02
6,272,58,Male,Chennai,203,Fashion,2239,2,4478,2023-05-15
7,688,41,Male,Bangalore,154,Electronics,14021,3,42063,2024-04-13
8,324,47,Female,Mumbai,38,Beauty,1649,1,1649,2023-01-10
9,470,38,Female,Bangalore,289,Sports,11049,1,11049,2023-04-13
10,76,32,Male,Mumbai,276,Electronics,37896,2,75792,2023-08-07
11,519,40,Female,Delhi,136,Beauty,2626,2,5252,2023-05-16
12,956,23,Male,Chennai,179,Beauty,3213,2,6426,2023-03-12
13,901,56,Male,Chennai,126,Sports,2713,3,8139,2024-01-14
14,292,35,Male,Chennai,81,Sports,15777,2,31554,2024-03-24
15,854,51,Male,Mumbai,279,Electronics,28776,1,28776,2024-12-21
16,310,50,Male,Mumbai,271,Beauty,641,3,1923,2023-01-09
17,684,33,Male,Chennai,284,Beauty,659,2,1318,2023-11-03
18,955,48,Female,Hyderabad,54,Sports,6904,3,20712,2023-05-18
19,271,26,Male,Delhi,60,Electronics,15852,3,47556,2023-04-20
20,761,21,Male,Chennai,284,Beauty,659,2,1318,2023-06-09
21,279,50,Female,Chennai,145,Home,5816,3,17448,2024-09-11
22,216,61,Male,Bangalore,176,Home,14603,1,14603,2023-07-28
23,704,37,Female,Delhi,136,Beauty,2626,1,2626,2024-06-01
24,501,50,Female,Bangalore,129,Electronics,20854,3,62562,2023-02-22
25,95,42,Female,Hyderabad,217,Beauty,5683,2,11366,2023-10-11
26,46,31,Female,Bangalore,2,Electronics,10057,3,30171,2023-12-08
27,790,51,Female,Mumbai,67,Fashion,872,1,872,2024-10-14
28,269,54,Female,Chennai,83,Home,12180,3,36540,2024-03-28
29,565,53,Male,Chennai,219,Beauty,2704,3,8112,2024-07-28
30,10,28,Male,Bangalore,58,Fashion,1194,1,1194,2023-03-19
31,968,28,Female,Chennai,77,Fashion,1817,3,5451,2024-07-12
32,37,20,Female,Chennai,190,Fashion,7576,3,22728,2024-08-19
33,566,29,Male,Mumbai,76,Fashion,5361,2,10722,2024-03-16
34,131,54,Female,Mumbai,22,Sports,17858,2,35716,2023-11-12
35,374,26,Female,Hyderabad,21,Fashion,2597,1,2597,2024-01-02
36,216,61,Male,Bangalore,128,Sports,14165,1,14165,2024-11-13
37,106,52,Male,Mumbai,182,Fashion,2891,1,2891,2024-07-27
38,906,61,Male,Chennai,209,Fashion,7944,2,15888,2024-09-27
39,768,25,Female,Hyderabad,80,Home,4048,1,4048,2023-08-31
40,886,20,Male,Hyderabad,84,Electronics,18421,1,18421,2023-07-01
41,903,56,Male,Hyderabad,212,Fashion,3857,1,3857,2023-01-26
42,184,20,Female,Chennai,171,Fashion,2567,2,5134,2024-02-26
43,822,64,Male,Bangalore,128,Sports,14165,3,42495,2023-10-01
